Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
CRISTIANO RONALDO,10/11,LALIGA,6,2010-10-03,H,REAL MADRID,DEPORTIVO DE LA CORUÃ±A,6:01,LW,89,6:01,LEFT-FOOTED SHOT,XABI ALONSO
LIONEL MESSI,10/11,LALIGA,6,2010-10-03,H,FC BARCELONA,RCD MALLORCA,1:01,CF,20,1:00,LEFT-FOOTED SHOT,PEDRO
CRISTIANO RONALDO,10/11,LALIGA,7,2010-10-16,A,REAL MADRID,MALAGA CF,1:04,LW,45,0:02,RIGHT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,7,2010-10-16,A,REAL MADRID,MALAGA CF,1:04,LW,50,0:03,PENALTY,OTHER
CRISTIANO RONALDO,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-10-19,H,REAL MADRID,AC MILAN,2:00,LW,13,1:00,DIRECT FREE KICK,OTHER
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-10-20,H,FC BARCELONA,FC COPENHAGEN,2:00,CF,90+1,2:00,LEFT-FOOTED SHOT,Ã‰RIC ABIDAL
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-10-20,H,FC BARCELONA,FC COPENHAGEN,2:00,CF,18,1:00,LEFT-FOOTED SHOT,ANDRES INIESTA
CRISTIANO RONALDO,10/11,LALIGA,8,2010-10-23,H,REAL MADRID,RACING SANTANDER,6:01,LW,55,5:00,PENALTY,OTHER
CRISTIANO RONALDO,10/11,LALIGA,8,2010-10-23,H,REAL MADRID,RACING SANTANDER,6:01,LW,26,3:00,LEFT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,8,2010-10-23,H,REAL MADRID,RACING SANTANDER,6:01,LW,15,2:00,RIGHT-FOOTED SHOT,GONZALO HIGUAIN
CRISTIANO RONALDO,10/11,LALIGA,8,2010-10-23,H,REAL MADRID,RACING SANTANDER,6:01,LW,47,4:00,RIGHT-FOOTED SHOT,ANGEL DI MARIA
LIONEL MESSI,10/11,LALIGA,8,2010-10-23,A,FC BARCELONA,REAL ZARAGOZA,0:02,CF,41,0:01,LEFT-FOOTED SHOT,DAVID VILLA
LIONEL MESSI,10/11,LALIGA,8,2010-10-23,A,FC BARCELONA,REAL ZARAGOZA,0:02,CF,65,0:02,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,10/11,LALIGA,9,2010-10-30,A,REAL MADRID,HERCULES CF,1:03,LW,86,1:03,RIGHT-FOOTED SHOT,KARIM BENZEMA
CRISTIANO RONALDO,10/11,LALIGA,9,2010-10-30,A,REAL MADRID,HERCULES CF,1:03,LW,82,1:02,RIGHT-FOOTED SHOT,KARIM BENZEMA
LIONEL MESSI,10/11,LALIGA,9,2010-10-30,H,FC BARCELONA,SEVILLA FC,5:00,RW,63,4:00,LEFT-FOOTED SHOT,OTHER
LIONEL MESSI,10/11,LALIGA,9,2010-10-30,H,FC BARCELONA,SEVILLA FC,5:00,RW,4,1:00,LEFT-FOOTED SHOT,OTHER
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-11-02,A,FC BARCELONA,FC COPENHAGEN,1:01,CF,31,0:01,RIGHT-FOOTED SHOT,OTHER
LIONEL MESSI,10/11,LALIGA,10,2010-11-07,A,FC BARCELONA,GETAFE CF,1:03,CF,23,0:01,LEFT-FOOTED SHOT,DAVID VILLA
CRISTIANO RONALDO,10/11,COPA DEL REY,4TH ROUND,2010-11-10,H,REAL MADRID,REAL MURCIA CF,5:01,OTHER,76,3:00,LEFT-FOOTED SHOT,ANGEL DI MARIA
LIONEL MESSI,10/11,COPA DEL REY,4TH ROUND,2010-11-10,H,FC BARCELONA,CLUB ATLETICO DE CEUTA,5:01,RW,67,5:01,LEFT-FOOTED SHOT,THIAGO
LIONEL MESSI,10/11,LALIGA,11,2010-11-13,H,FC BARCELONA,VILLARREAL CF,3:01,CF,58,2:01,RIGHT-FOOTED SHOT,PEDRO
LIONEL MESSI,10/11,LALIGA,11,2010-11-13,H,FC BARCELONA,VILLARREAL CF,3:01,CF,83,3:01,LEFT-FOOTED SHOT,PEDRO
CRISTIANO RONALDO,10/11,LALIGA,12,2010-11-20,H,REAL MADRID,ATHLETIC BILBAO,5:01,LW,30,2:00,LEFT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,12,2010-11-20,H,REAL MADRID,ATHLETIC BILBAO,5:01,LW,62,4:01,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,10/11,LALIGA,12,2010-11-20,H,REAL MADRID,ATHLETIC BILBAO,5:01,LW,90+1,5:01,PENALTY,OTHER
LIONEL MESSI,10/11,LALIGA,12,2010-11-20,A,FC BARCELONA,UD ALMERA,0:08,CF,16,0:01,LEFT-FOOTED SHOT,DAVID VILLA
LIONEL MESSI,10/11,LALIGA,12,2010-11-20,A,FC BARCELONA,UD ALMERA,0:08,CF,67,0:07,TAP-IN,DAVID VILLA
LIONEL MESSI,10/11,LALIGA,12,2010-11-20,A,FC BARCELONA,UD ALMERA,0:08,CF,36,0:05,TAP-IN,OTHER
CRISTIANO RONALDO,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-11-23,A,REAL MADRID,AJAX AMSTERDAM,0:04,LW,70,0:03,LEFT-FOOTED SHOT,ANGEL DI MARIA
CRISTIANO RONALDO,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-11-23,A,REAL MADRID,AJAX AMSTERDAM,0:04,LW,81,0:04,PENALTY,OTHER
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-11-24,A,FC BARCELONA,PANATHINAIKOS ATHENS,0:03,CF,63,0:02,LEFT-FOOTED SHOT,ADRIANO
LIONEL MESSI,10/11,LALIGA,14,2010-12-04,A,FC BARCELONA,CA OSASUNA,0:03,CF,64,0:02,LEFT-FOOTED SHOT,DAVID VILLA
LIONEL MESSI,10/11,LALIGA,14,2010-12-04,A,FC BARCELONA,CA OSASUNA,0:03,CF,82,0:03,PENALTY,OTHER
CRISTIANO RONALDO,10/11,LALIGA,14,2010-12-04,H,REAL MADRID,VALENCIA CF,2:00,LW,72,1:00,LEFT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,14,2010-12-04,H,REAL MADRID,VALENCIA CF,2:00,LW,86,2:00,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-12-08,H,REAL MADRID,AJ AUXERRE,4:00,LW,49,2:00,RIGHT-FOOTED SHOT,MARCELO
LIONEL MESSI,10/11,LALIGA,15,2010-12-12,H,FC BARCELONA,REAL SOCIEDAD,5:00,CF,46,3:00,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,10/11,LALIGA,15,2010-12-12,H,FC BARCELONA,REAL SOCIEDAD,5:00,CF,86,4:00,LEFT-FOOTED SHOT,BOJAN KRKIC
CRISTIANO RONALDO,10/11,LALIGA,15,2010-12-12,A,REAL MADRID,REAL ZARAGOZA,1:03,LW,43,0:02,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,10/11,COPA DEL REY,LAST 16,2010-12-22,H,REAL MADRID,LEVANTE UD,8:00,LW,73,7:00,RIGHT-FOOTED SHOT,KARIM BENZEMA
CRISTIANO RONALDO,10/11,COPA DEL REY,LAST 16,2010-12-22,H,REAL MADRID,LEVANTE UD,8:00,LW,71,6:00,RIGHT-FOOTED SHOT,ANGEL DI MARIA
CRISTIANO RONALDO,10/11,COPA DEL REY,LAST 16,2010-12-22,H,REAL MADRID,LEVANTE UD,8:00,LW,44,4:00,RIGHT-FOOTED SHOT,KARIM BENZEMA
CRISTIANO RONALDO,10/11,LALIGA,17,2011-01-03,A,REAL MADRID,GETAFE CF,2:03,LW,11,0:01,PENALTY,OTHER
CRISTIANO RONALDO,10/11,LALIGA,17,2011-01-03,A,REAL MADRID,GETAFE CF,2:03,LW,57,1:03,RIGHT-FOOTED SHOT,KARIM BENZEMA
LIONEL MESSI,10/11,LALIGA,18,2011-01-08,A,FC BARCELONA,DEPORTIVO DE LA CORUAA,0:04,CF,51,0:02,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,10/11,LALIGA,18,2011-01-09,H,REAL MADRID,VILLARREAL CF,4:02,LW,10,1:01,RIGHT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,18,2011-01-09,H,REAL MADRID,VILLARREAL CF,4:02,LW,45,2:02,HEADER,XABI ALONSO
CRISTIANO RONALDO,10/11,LALIGA,18,2011-01-09,H,REAL MADRID,VILLARREAL CF,4:02,LW,79,3:02,LEFT-FOOTED SHOT,KAKA
LIONEL MESSI,10/11,COPA DEL REY,QUARTER-FINALS,2011-01-12,H,FC BARCELONA,REAL BETIS BALOMPIE,5:00,CF,63,2:00,LEFT-FOOTED SHOT,OTHER
LIONEL MESSI,10/11,COPA DEL REY,QUARTER-FINALS,2011-01-12,H,FC BARCELONA,REAL BETIS BALOMPIE,5:00,CF,44,1:00,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,10/11,COPA DEL REY,QUARTER-FINALS,2011-01-12,H,FC BARCELONA,REAL BETIS BALOMPIE,5:00,CF,73,3:00,LEFT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,10/11,COPA DEL REY,QUARTER-FINALS,2011-01-13,H,REAL MADRID,ATLETICO DE MADRID,3:01,LW,60,2:01,RIGHT-FOOTED SHOT,MESUT OZIL
LIONEL MESSI,10/11,COPA DEL REY,QUARTER-FINALS,2011-01-19,A,FC BARCELONA,REAL BETIS BALOMPIE,3:01,RW,37,2:01,LEFT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,10/11,COPA DEL REY,QUARTER-FINALS,2011-01-20,A,REAL MADRID,ATLETICO DE MADRID,0:01,CF,22,0:01,RIGHT-FOOTED SHOT,SERGIO RAMOS
LIONEL MESSI,10/11,LALIGA,20,2011-01-22,H,FC BARCELONA,RACING SANTANDER,3:00,CF,33,2:00,PENALTY,OTHER
LIONEL MESSI,10/11,COPA DEL REY,SEMI-FINALS,2011-01-26,H,FC BARCELONA,UD ALMERA,5:00,CF,15,3:00,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,10/11,COPA DEL REY,SEMI-FINALS,2011-01-26,H,FC BARCELONA,UD ALMERA,5:00,CF,9,1:00,LEFT-FOOTED SHOT,PEDRO
LIONEL MESSI,10/11,LALIGA,21,2011-01-29,A,FC BARCELONA,HERCULES CF,0:03,CF,89,0:03,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,10/11,LALIGA,21,2011-01-29,A,FC BARCELONA,HERCULES CF,0:03,CF,87,0:02,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,10/11,LALIGA,22,2011-02-05,H,FC BARCELONA,ATLETICO DE MADRID,3:00,CF,28,2:00,LEFT-FOOTED SHOT,PEDRO
LIONEL MESSI,10/11,LALIGA,22,2011-02-05,H,FC BARCELONA,ATLETICO DE MADRID,3:00,CF,78,3:00,LEFT-FOOTED SHOT,DAVID VILLA
LIONEL MESSI,10/11,LALIGA,22,2011-02-05,H,FC BARCELONA,ATLETICO DE MADRID,3:00,CF,16,1:00,LEFT-FOOTED SHOT,DANI ALVES
CRISTIANO RONALDO,10/11,LALIGA,22,2011-02-06,H,REAL MADRID,REAL SOCIEDAD,4:01,LW,20,2:00,LEFT-FOOTED SHOT,KAKA
CRISTIANO RONALDO,10/11,LALIGA,22,2011-02-06,H,REAL MADRID,REAL SOCIEDAD,4:01,LW,42,3:00,HEADER,MESUT OZIL
LIONEL MESSI,10/11,LALIGA,24,2011-02-20,H,FC BARCELONA,ATHLETIC BILBAO,2:01,CF,78,2:01,RIGHT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,10/11,LALIGA,25,2011-02-26,A,FC BARCELONA,RCD MALLORCA,0:03,CF,38,0:01,HEADER,SEYDOU KEITA
LIONEL MESSI,10/11,LALIGA,26,2011-03-02,A,FC BARCELONA,VALENCIA CF,0:01,CF,77,0:01,LEFT-FOOTED SHOT,ADRIANO
CRISTIANO RONALDO,10/11,LALIGA,26,2011-03-03,H,REAL MADRID,MALAGA CF,7:00,LW,67,6:00,PENALTY,OTHER
CRISTIANO RONALDO,10/11,LALIGA,26,2011-03-03,H,REAL MADRID,MALAGA CF,7:00,LW,50,4:00,LEFT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,26,2011-03-03,H,REAL MADRID,MALAGA CF,7:00,LW,76,7:00,RIGHT-FOOTED SHOT,SERGIO CANALES
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,LAST 16,2011-03-08,H,FC BARCELONA,ARSENAL FC,3:01,RW,49,1:00,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,LAST 16,2011-03-08,H,FC BARCELONA,ARSENAL FC,3:01,RW,72,3:01,PENALTY,OTHER
CRISTIANO RONALDO,10/11,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2011-04-05,H,REAL MADRID,TOTTENHAM HOTSPUR,4:00,LW,87,4:00,RIGHT-FOOTED SHOT,KAKA
LIONEL MESSI,10/11,LALIGA,31,2011-04-09,H,FC BARCELONA,UD ALMERA,3:01,CF,90+1,3:01,LEFT-FOOTED SHOT,SEYDOU KEITA
LIONEL MESSI,10/11,LALIGA,31,2011-04-09,H,FC BARCELONA,UD ALMERA,3:01,CF,52,1:01,PENALTY,OTHER
CRISTIANO RONALDO,10/11,LALIGA,31,2011-04-09,A,REAL MADRID,ATHLETIC BILBAO,0:03,CF,70,0:03,RIGHT-FOOTED SHOT,ESTEBAN GRANERO
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2011-04-12,A,FC BARCELONA,SHAKHTAR DONETSK,0:01,CF,42,0:01,LEFT-FOOTED SHOT,DANI ALVES
CRISTIANO RONALDO,10/11,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2011-04-13,A,REAL MADRID,TOTTENHAM HOTSPUR,0:01,RW,50,0:01,RIGHT-FOOTED SHOT,SAMI KHEDIRA
LIONEL MESSI,10/11,LALIGA,32,2011-04-16,A,FC BARCELONA,REAL MADRID,1:01,CF,53,0:01,PENALTY,OTHER
CRISTIANO RONALDO,10/11,LALIGA,32,2011-04-16,H,REAL MADRID,FC BARCELONA,1:01,LW,82,1:01,PENALTY,OTHER
CRISTIANO RONALDO,10/11,COPA DEL REY,FINAL,2011-04-20,A,REAL MADRID,FC BARCELONA,0:1 AET,CF,103,0:01,HEADER,ANGEL DI MARIA
LIONEL MESSI,10/11,LALIGA,33,2011-04-23,H,FC BARCELONA,CA OSASUNA,2:00,CF,87,2:00,RIGHT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,SEMI-FINALS,2011-04-27,A,FC BARCELONA,REAL MADRID,0:02,CF,76,0:01,LEFT-FOOTED SHOT,IBRAHIM AFELLAY
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,SEMI-FINALS,2011-04-27,A,FC BARCELONA,REAL MADRID,0:02,CF,87,0:02,SOLO RUN,SERGIO BUSQUETS
CRISTIANO RONALDO,10/11,LALIGA,35,2011-05-07,A,REAL MADRID,SEVILLA FC,2:06,LW,30,0:02,RIGHT-FOOTED SHOT,PEPE
CRISTIANO RONALDO,10/11,LALIGA,35,2011-05-07,A,REAL MADRID,SEVILLA FC,2:06,LW,76,1:06,RIGHT-FOOTED SHOT,KARIM BENZEMA
CRISTIANO RONALDO,10/11,LALIGA,35,2011-05-07,A,REAL MADRID,SEVILLA FC,2:06,LW,64,1:04,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,10/11,LALIGA,35,2011-05-07,A,REAL MADRID,SEVILLA FC,2:06,LW,70,1:05,RIGHT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,36,2011-05-10,H,REAL MADRID,GETAFE CF,4:00,LW,23,1:00,HEADER,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,36,2011-05-10,H,REAL MADRID,GETAFE CF,4:00,LW,90+1,4:00,PENALTY,OTHER
CRISTIANO RONALDO,10/11,LALIGA,36,2011-05-10,H,REAL MADRID,GETAFE CF,4:00,LW,57,2:00,LEFT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,10/11,LALIGA,37,2011-05-15,A,REAL MADRID,VILLARREAL CF,1:03,CF,22,0:02,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,10/11,LALIGA,37,2011-05-15,A,REAL MADRID,VILLARREAL CF,1:03,CF,90,1:03,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,10/11,LALIGA,38,2011-05-21,H,REAL MADRID,UD ALMERIA,8:01,LW,4,1:00,RIGHT-FOOTED SHOT,SERGIO RAMOS
CRISTIANO RONALDO,10/11,LALIGA,38,2011-05-21,H,REAL MADRID,UD ALMERIA,8:01,LW,76,7:01,RIGHT-FOOTED SHOT,SERGIO RAMOS
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,FINAL,2011-05-28,H,FC BARCELONA,MANCHESTER UNITED,3:01,CF,54,2:01,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,11/12,SUPERCOPA,FINAL,2011-08-14,A,FC BARCELONA,REAL MADRID,2:02,CF,45,1:02,LEFT-FOOTED SHOT,THIAGO
LIONEL MESSI,11/12,SUPERCOPA,FINAL,2011-08-17,H,FC BARCELONA,REAL MADRID,3:02,CF,88,3:02,LEFT-FOOTED SHOT,ADRIANO
LIONEL MESSI,11/12,SUPERCOPA,FINAL,2011-08-17,H,FC BARCELONA,REAL MADRID,3:02,CF,44,2:01,RIGHT-FOOTED SHOT,GERARD PIQUE
CRISTIANO RONALDO,11/12,SUPERCOPA,FINAL,2011-08-17,A,REAL MADRID,FC BARCELONA,3:02,LW,20,1:01,RIGHT-FOOTED SHOT,KARIM BENZEMA
LIONEL MESSI,11/12,UEFA SUPER CUP,FINAL,2011-08-26,H,FC BARCELONA,FC PORTO,2:00,CF,39,1:00,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,11/12,LALIGA,2,2011-08-28,A,REAL MADRID,REAL ZARAGOZA,0:06,LW,23,0:01,LEFT-FOOTED SHOT,MESUT OZIL
CRISTIANO RONALDO,11/12,LALIGA,2,2011-08-28,A,REAL MADRID,REAL ZARAGOZA,0:06,LW,70,0:04,RIGHT-FOOTED SHOT,ANGEL DI MARIA
CRISTIANO RONALDO,11/12,LALIGA,2,2011-08-28,A,REAL MADRID,REAL ZARAGOZA,0:06,LW,86,0:06,RIGHT-FOOTED SHOT,KAKA
LIONEL MESSI,11/12,LALIGA,2,2011-08-29,H,FC BARCELONA,VILLARREAL CF,5:00,CF,74,5:00,LEFT-FOOTED SHOT,THIAGO
LIONEL MESSI,11/12,LALIGA,2,2011-08-29,H,FC BARCELONA,VILLARREAL CF,5:00,CF,51,4:00,RIGHT-FOOTED SHOT,ANDRES INIESTA
CRISTIANO RONALDO,11/12,LALIGA,3,2011-09-10,H,REAL MADRID,GETAFE CF,4:02,LW,59,2:01,PENALTY,OTHER
LIONEL MESSI,11/12,LALIGA,4,2011-09-17,H,FC BARCELONA,CA OSASUNA,8:00,CF,79,8:00,LEFT-FOOTED SHOT,CESC FABREGAS
LIONEL MESSI,11/12,LALIGA,4,2011-09-17,H,FC BARCELONA,CA OSASUNA,8:00,CF,5,1:00,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,11/12,LALIGA,4,2011-09-17,H,FC BARCELONA,CA OSASUNA,8:00,CF,41,5:00,LEFT-FOOTED SHOT,CESC FABREGAS
LIONEL MESSI,11/12,LALIGA,6,2011-09-24,H,FC BARCELONA,ATLETICO DE MADRID,5:00,CF,26,3:00,LEFT-FOOTED SHOT,PEDRO
CRISTIANO RONALDO,11/12,LALIGA,6,2011-09-24,H,REAL MADRID,RAYO VALLECANO,6:02,LW,51,3:01,PENALTY,OTHER
LIONEL MESSI,11/12,LALIGA,6,2011-09-24,H,FC BARCELONA,ATLETICO DE MADRID,5:00,CF,78,4:00,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,11/12,LALIGA,6,2011-09-24,H,FC BARCELONA,ATLETICO DE MADRID,5:00,CF,90+1,5:00,LEFT-FOOTED SHOT,DAVID VILLA
CRISTIANO RONALDO,11/12,LALIGA,6,2011-09-24,H,REAL MADRID,RAYO VALLECANO,6:02,LW,39,1:01,LEFT-FOOTED SHOT,KAKA
CRISTIANO RONALDO,11/12,LALIGA,6,2011-09-24,H,REAL MADRID,RAYO VALLECANO,6:02,LW,84,6:02,PENALTY,OTHER
CRISTIANO RONALDO,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-09-27,H,REAL MADRID,AJAX AMSTERDAM,3:00,LW,25,1:00,RIGHT-FOOTED SHOT,KARIM BENZEMA
LIONEL MESSI,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-09-28,A,FC BARCELONA,BATE BORISOV,0:05,CF,56,0:04,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-09-28,A,FC BARCELONA,BATE BORISOV,0:05,CF,38,0:03,HEADER,OTHER
LIONEL MESSI,11/12,LALIGA,8,2011-10-15,H,FC BARCELONA,RACING SANTANDER,3:00,CF,69,3:00,RIGHT-FOOTED SHOT,OTHER
LIONEL MESSI,11/12,LALIGA,8,2011-10-15,H,FC BARCELONA,RACING SANTANDER,3:00,CF,11,1:00,RIGHT-FOOTED SHOT,ANDRES INIESTA
CRISTIANO RONALDO,11/12,LALIGA,9,2011-10-22,A,REAL MADRID,MALAGA CF,0:04,LW,28,0:03,RIGHT-FOOTED SHOT,XABI ALONSO
CRISTIANO RONALDO,11/12,LALIGA,9,2011-10-22,A,REAL MADRID,MALAGA CF,0:04,LW,24,0:02,LEFT-FOOTED SHOT,ANGEL DI MARIA
CRISTIANO RONALDO,11/12,LALIGA,9,2011-10-22,A,REAL MADRID,MALAGA CF,0:04,LW,38,0:04,RIGHT-FOOTED SHOT,SERGIO RAMOS
LIONEL MESSI,11/12,LALIGA,11,2011-10-29,H,FC BARCELONA,RCD MALLORCA,5:00,CF,30,3:00,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,11/12,LALIGA,11,2011-10-29,H,FC BARCELONA,RCD MALLORCA,5:00,CF,13,1:00,PENALTY,OTHER
LIONEL MESSI,11/12,LALIGA,11,2011-10-29,H,FC BARCELONA,RCD MALLORCA,5:00,CF,21,2:00,RIGHT-FOOTED SHOT,ADRIANO
LIONEL MESSI,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-11-01,A,FC BARCELONA,FC VIKTORIA PLZEN,0:04,CF,90+2,0:04,LEFT-FOOTED SHOT,GERARD PIQUE
LIONEL MESSI,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-11-01,A,FC BARCELONA,FC VIKTORIA PLZEN,0:04,CF,45+2,0:02,LEFT-FOOTED SHOT,ADRIANO
LIONEL MESSI,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-11-01,A,FC BARCELONA,FC VIKTORIA PLZEN,0:04,CF,24,0:01,PENALTY,OTHER
CRISTIANO RONALDO,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-11-02,A,REAL MADRID,OLYMPIQUE LYON,0:02,LW,69,0:02,PENALTY,OTHER
CRISTIANO RONALDO,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-11-02,A,REAL MADRID,OLYMPIQUE LYON,0:02,LW,25,0:01,DIRECT FREE KICK,OTHER
LIONEL MESSI,11/12,LALIGA,12,2011-11-06,A,FC BARCELONA,ATHLETIC BILBAO,2:02,CF,90,2:02,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,11/12,LALIGA,12,2011-11-06,H,REAL MADRID,CA OSASUNA,7:01,LW,23,1:00,HEADER,ANGEL DI MARIA
CRISTIANO RONALDO,11/12,LALIGA,12,2011-11-06,H,REAL MADRID,CA OSASUNA,7:01,LW,55,4:01,PENALTY,OTHER
CRISTIANO RONALDO,11/12,LALIGA,12,2011-11-06,H,REAL MADRID,CA OSASUNA,7:01,LW,58,5:01,HEADER,ALVARO ARBELOA
CRISTIANO RONALDO,11/12,LALIGA,13,2011-11-19,A,REAL MADRID,VALENCIA CF,2:03,LW,79,1:03,RIGHT-FOOTED SHOT,PEPE
LIONEL MESSI,11/12,LALIGA,13,2011-11-19,H,FC BARCELONA,REAL ZARAGOZA,4:00,CF,43,2:00,RIGHT-FOOTED SHOT,CESC FABREGAS
LIONEL MESSI,11/12,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2011-11-23,A,FC BARCELONA,AC MILAN,2:03,SS,31,1:02,PENALTY,OTHER
CRISTIANO RONALDO,11/12,LALIGA,14,2011-11-26,H,REAL MADRID,ATLETICO DE MADRID,4:01,LW,82,4:01,PENALTY,OTHER
CRISTIANO RONALDO,11/12,LALIGA,14,2011-11-26,H,REAL MADRID,ATLETICO DE MADRID,4:01,LW,24,1:01,PENALTY,OTHER
LIONEL MESSI,11/12,LALIGA,17,2011-11-29,H,FC BARCELONA,RAYO VALLECANO,4:00,CF,49,4:00,LEFT-FOOTED SHOT,DANI ALVES
CRISTIANO RONALDO,11/12,LALIGA,15,2011-12-03,A,REAL MADRID,SPORTING GIJÃ³N,0:03,LW,65,0:02,RIGHT-FOOTED SHOT,ANGEL DI MARIA
LIONEL MESSI,11/12,LALIGA,15,2011-12-03,H,FC BARCELONA,LEVANTE UD,5:00,CF,55,4:00,LEFT-FOOTED SHOT,DANI ALVES
CRISTIANO RONALDO,11/12,COPA DEL REY,4TH ROUND,2011-12-13,A,REAL MADRID,SD PONFERRADINA,0:02,LW,74,0:02,LEFT-FOOTED SHOT,GONZALO HIGUAIN
CRISTIANO RONALDO,11/12,LALIGA,17,2011-12-17,A,REAL MADRID,SEVILLA FC,2:06,LW,10,0:01,RIGHT-FOOTED SHOT,ANGEL DI MARIA
CRISTIANO RONALDO,11/12,LALIGA,17,2011-12-17,A,REAL MADRID,SEVILLA FC,2:06,LW,41,0:03,RIGHT-FOOTED SHOT,KARIM BENZEMA
CRISTIANO RONALDO,11/12,LALIGA,17,2011-12-17,A,REAL MADRID,SEVILLA FC,2:06,LW,86,1:05,PENALTY,OTHER
LIONEL MESSI,11/12,FIFA CLUB WORLD CUP,FINAL,2011-12-18,A,FC BARCELONA,SANTOS FC,0:04,RW,82,0:04,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,11/12,FIFA CLUB WORLD CUP,FINAL,2011-12-18,A,FC BARCELONA,SANTOS FC,0:04,RW,17,0:01,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,11/12,COPA DEL REY,LAST 16,2012-01-04,H,FC BARCELONA,CA OSASUNA,4:00,CF,90,4:00,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,11/12,COPA DEL REY,LAST 16,2012-01-04,H,FC BARCELONA,CA OSASUNA,4:00,CF,71,3:00,HEADER,CESC FABREGAS
CRISTIANO RONALDO,11/12,LALIGA,18,2012-01-07,H,REAL MADRID,GRANADA CF,5:01,LW,89,5:01,RIGHT-FOOTED SHOT,OTHER
